"Name","CAS","TotalnPub","AD","FTD","HD","MND","MS","PD","relisyr_list","MNDLogic","longlist","drugScreenLib","astrocyteMCB","MCBPositiveHit","proteinAggregation","WGCNApredictions","CNSPenetrance","p_CNSPenetrance","BNF"
"drug-1","3215-41-4",4,0,0,0,1,3,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.700842028716579,TRUE
"drug-2","539-64-7",21,18,0,0,0,2,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.868290873477235,TRUE
"drug-3","3487-39-3",21,18,0,0,0,2,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.143600242910907,TRUE
"drug-4","96721-98-5",4,0,0,0,1,3,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.606862562708557,TRUE
"drug-5","68319-43-2",1,1,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.790545074967667,TRUE
"drug-6","457-93-2",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.470163385383785,TRUE
"drug-7","342-16-1",1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.127094018738717,TRUE
"drug-8","3261-48-1",7,6,0,0,0,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.811613704776391,TRUE
"drug-9","25-19-6",5,1,0,0,0,1,3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0840663872659206,TRUE
"drug-10","52937-27-8",11,0,0,1,1,8,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0590597921982408,TRUE
"drug-11","6859-94-8",4,0,0,0,0,0,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0670241550542414,TRUE
"drug-12","32-39-5",7,6,0,0,0,1,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.582708384143189,TRUE
"drug-13","26843-26-7",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.826698726508766,TRUE
"drug-14","529-18-6",7,7,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.531667842064053,TRUE
"drug-15","83-27-8",6,2,0,0,0,4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.557774245506153,TRUE
"drug-16","24-56-1",5,1,0,0,0,1,3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.106280127540231,TRUE
"drug-17","27-56-2",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.553264446789399,TRUE
"drug-18","65291-15-4",7,6,0,0,0,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.927091587102041,TRUE
"drug-19","37-35-5",0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.400709116598591,TRUE
"drug-20","19-97-5",7,3,0,1,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.452460406115279,TRUE
"drug-21","37425-15-7",21,18,0,0,0,2,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.741049430798739,TRUE
"drug-22","32-28-6",4,2,0,0,0,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.294205903541297,TRUE
